model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.8706800445930881,0.8597947757968697,0.8690331716980109,0.8045881922706067,0.4663090705871582
Logistic Regression (L1),0.8740245261984393,0.8636426905779483,0.872432736484049,0.8092518680924041,90.25672912597656
Logistic Regression (ElasticNet),0.89223337049424,0.8843643039879928,0.8912598474500524,0.8368148916320489,107.37128376960754
SVC (RBF),0.7558528428093646,0.7290625831468902,0.7439268380649603,0.6323922239847114,11.147913932800293
SVC (Linear),0.9256781865477518,0.9191070750530271,0.9251533483807551,0.8874942741769568,7.3633129596710205
Decision Tree,0.9464882943143813,0.941018211650103,0.9462253053819389,0.9188087700269264,0.599531888961792
Random Forest,0.9464882943143813,0.941892913032468,0.9463310471528429,0.9191172136919316,6.123522758483887
k-Nearest Neighbors,0.7692307692307693,0.7539990268189335,0.7664627226211772,0.6483918352338196,6.636124134063721
Gradient Boosting,0.779635823114084,0.7568105290502282,0.7716677336543758,0.666694246292664,33.274194955825806
AdaBoost,0.6495726495726496,0.6190331338137535,0.6343677960275335,0.4638711127708023,23.547455072402954
MLP Classifier,0.7759197324414716,0.7564942502145682,0.7697801838084721,0.6613407513308314,3.219144344329834
Gaussian Naive Bayes,0.5659606094388703,0.5492313089934456,0.5628766711909351,0.34269267458879193,0.19609808921813965
Linear Discriminant Analysis,0.8784838350055741,0.8727258333572606,0.8785117844470125,0.8161404180999318,6.776638984680176
XGBoost,0.9464882943143813,0.9420774645098183,0.9463531883797718,0.9190484744807444,460.3549020290375
