model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.6335934596804162,0.6081482286274821,0.6231418411047187,0.44045197671020736,0.19421958923339844
Logistic Regression (L1),0.6228167967298402,0.5902318258115901,0.604083348672203,0.4227067210821802,36.06853413581848
Logistic Regression (ElasticNet),0.620958751393534,0.5902060088027569,0.6056774715878227,0.41951820934961215,37.96876001358032
SVC (RBF),0.5180230397621702,0.46162110497985015,0.4456896301368804,0.26259142000533653,5.226243019104004
SVC (Linear),0.6376811594202898,0.6141317904423554,0.6304510674103645,0.4461883878777131,8.01537799835205
Decision Tree,0.6882199925678186,0.6726580908597667,0.6873448815212354,0.5254347747273519,0.29154109954833984
Random Forest,0.73652917131178,0.7149905845539349,0.7309435274312036,0.5975999304725687,4.1926429271698
k-Nearest Neighbors,0.6361947231512449,0.6145665590471967,0.6309675299423644,0.4437094118459724,4.914690017700195
Gradient Boosting,0.6614641397250093,0.6272194027066417,0.6416626777386074,0.4826575514024592,7.949635982513428
AdaBoost,0.6112969156447418,0.5744046050027328,0.5834327125409312,0.4048603303049275,6.592945098876953
MLP Classifier,0.6622073578595318,0.6382180305110847,0.6550201228052013,0.48387273238760764,2.6201820373535156
Gaussian Naive Bayes,0.4775176514306949,0.4751777299319122,0.4510356224551056,0.24474216795851853,0.15244197845458984
Linear Discriminant Analysis,0.6328502415458938,0.6148401426347,0.6307867304522482,0.4415421135141948,1.268894910812378
XGBoost,0.73652917131178,0.7188894029098937,0.7335300425688777,0.5982311023324367,135.86946487426758
