model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.7339279078409513,0.7108360553312685,0.7253640180549857,0.5953943614553754,0.19421958923339844
Logistic Regression (L1),0.6774433296172426,0.6499212397656244,0.6645618909165664,0.5082485344593765,36.06853413581848
Logistic Regression (ElasticNet),0.6819026384243776,0.6555619791477973,0.6704862144534921,0.5149608262981928,37.96876001358032
SVC (RBF),0.5395763656633222,0.4835417103510962,0.4699625119193719,0.30115597859719534,5.226243019104004
SVC (Linear),0.7617985878855444,0.7428204152136685,0.7563959273235148,0.637850142627857,8.01537799835205
Decision Tree,0.9620958751393534,0.9582522084108916,0.9619741289257897,0.9423389956080783,0.29154109954833984
Random Forest,0.9620958751393534,0.958388703883856,0.9619949052348873,0.9424467658818249,4.1926429271698
k-Nearest Neighbors,0.7699739873652918,0.7549080156482507,0.76736907678227,0.6489856065525527,4.914690017700195
Gradient Boosting,0.750278706800446,0.7233971494021194,0.7396567924141667,0.6213316920033977,7.949635982513428
AdaBoost,0.6380527684875511,0.6016692627836768,0.6117223335064973,0.4478278356851218,6.592945098876953
MLP Classifier,0.8186547751765143,0.8088118582556616,0.8171011436452787,0.7275023236419058,2.6201820373535156
Gaussian Naive Bayes,0.5120772946859904,0.51272452245337,0.48659882628509965,0.30502321988697534,0.15244197845458984
Linear Discriminant Analysis,0.7387588257153475,0.7227248057264063,0.7362186908623248,0.6021888961932961,1.268894910812378
XGBoost,0.9617242660720922,0.9584878639012481,0.9616713337422482,0.9418771954864448,135.86946487426758
