model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.727238944630249,0.7033247772464613,0.7181485323178778,0.5857693710818255,0.18651318550109863
Logistic Regression (L1),0.7186919360832404,0.6957445898829911,0.7104797145726357,0.5721018452693014,27.151458024978638
Logistic Regression (ElasticNet),0.7183203270159791,0.6952950592028889,0.7102420116245434,0.5711417663131904,11.800565004348755
SVC (RBF),0.7432181345224823,0.7146340600552944,0.7297432121903334,0.6116201088222312,4.1656739711761475
SVC (Linear),0.7465626161278335,0.7257309208507962,0.7399900221167831,0.6150026021968217,2.8511061668395996
Decision Tree,0.9424005945745076,0.9364939155214431,0.9420924914870514,0.9123947523971143,0.25267982482910156
Random Forest,0.9424005945745076,0.9381670612156269,0.9423324665781986,0.9127213589376166,4.068220138549805
k-Nearest Neighbors,0.7677443329617243,0.7544177767556461,0.7655041935961889,0.6464652839876975,4.592801809310913
Gradient Boosting,0.7220364176885916,0.6935652531195678,0.7081980063598008,0.5787936577117887,6.602876901626587
AdaBoost,0.6161278335191379,0.5768740113895342,0.5801925960196116,0.4164693542083183,5.656616926193237
MLP Classifier,0.8944630248978075,0.8877753291819438,0.8944980844212034,0.8399017900994147,2.502232074737549
Gaussian Naive Bayes,0.5098476402824229,0.5054566437088307,0.48379172536615184,0.29689194763611815,0.16712427139282227
Linear Discriminant Analysis,0.7261241174284653,0.709839024055046,0.7233656844182811,0.583626645193362,1.053344964981079
XGBoost,0.9401709401709402,0.9345432834781655,0.9399389652527899,0.9097261288972225,107.92109107971191
