model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.6982534373838721,0.6685264684385251,0.682924639374711,0.5415753498751019,0.15049314498901367
Logistic Regression (L1),0.6997398736529171,0.6747107343455095,0.6898349959401452,0.5424929080457618,17.322494983673096
Logistic Regression (ElasticNet),0.705685618729097,0.680780351571634,0.6960246708449744,0.5516830122893204,9.625615119934082
SVC (RBF),0.7079152731326644,0.675472110131376,0.6897203057873483,0.5577989280816101,3.0175349712371826
SVC (Linear),0.7268673355629878,0.7036305986083481,0.7179346898331933,0.5854440543187313,2.234513282775879
Decision Tree,0.9096989966555183,0.9000100830013894,0.9087710000134733,0.8626983326531887,0.22036194801330566
Random Forest,0.9096989966555183,0.9026391508830413,0.9092295864190133,0.8630427150455149,3.6922049522399902
k-Nearest Neighbors,0.7617985878855444,0.746919803715106,0.7591644719367509,0.6374060504410206,3.9163010120391846
Gradient Boosting,0.7294685990338164,0.6989896041262593,0.7121954211017585,0.5932042642977533,5.952380895614624
AdaBoost,0.6098104793756968,0.5734712561955763,0.5819871090456713,0.40445063979331947,5.022113084793091
MLP Classifier,0.7632850241545893,0.7361318787816048,0.7506871468381275,0.6454974318369171,1.6689558029174805
Gaussian Naive Bayes,0.5139353400222966,0.5002951499589597,0.4961162064406698,0.2808777803001783,0.14465594291687012
Linear Discriminant Analysis,0.7034559643255296,0.6834816349973849,0.6985348613075834,0.547697683530254,0.6836559772491455
XGBoost,0.9096989966555183,0.9035729632033646,0.9094369633455397,0.8629571886449977,97.9173800945282
