model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.5845410628019324,0.5427576403053103,0.5438021506155727,0.36485592409291223,0.03595709800720215
Logistic Regression (L1),0.5830546265328874,0.5438764676161506,0.5487271081906454,0.3609078296365368,5.800925016403198
Logistic Regression (ElasticNet),0.5830546265328874,0.5456788901198232,0.5532153551557095,0.3602910424502013,6.023334264755249
SVC (RBF),0.5641025641025641,0.5223773971151966,0.5140863286005734,0.3351311402721529,2.298286199569702
SVC (Linear),0.5968041620215533,0.559136929386816,0.5651427814222438,0.3829356631033359,4.5219597816467285
Decision Tree,0.9126718691936083,0.9033051364301187,0.9118504572442296,0.8673000697371932,0.07116389274597168
Random Forest,0.9126718691936083,0.9056142848259153,0.9120835685547225,0.8674633598450221,2.908761978149414
k-Nearest Neighbors,0.7510219249349684,0.735421865265561,0.7481399329926888,0.6201161835914243,3.095613956451416
Gradient Boosting,0.7082868821999256,0.6774903283689552,0.6927829728676324,0.5564412084224095,2.4431300163269043
AdaBoost,0.5759940542549238,0.5344022459616257,0.5313901179139081,0.35249372320792505,2.7020230293273926
MLP Classifier,0.6283909327387588,0.5860512829965435,0.5916371884135934,0.4343062783962995,1.4618608951568604
Gaussian Naive Bayes,0.45782237086584915,0.46125903855975087,0.43438790442421477,0.21505234773414486,0.03521418571472168
Linear Discriminant Analysis,0.5808249721293199,0.5478154641799512,0.5603779203000873,0.3557505761668539,0.3508269786834717
XGBoost,0.9123002601263471,0.9045188239750873,0.9115798256612082,0.866912854574258,59.69339680671692
