model,r2,rmse,mae,time_s
Ridge Regression,0.3386882182463852,1.0474936177544139,0.8171821594642953,0.8993477821350098
Lasso Regression,0.23911897598428478,1.1235868094943156,0.9156054978826881,0.364300012588501
ElasticNet,0.2714572416590707,1.0994507462017307,0.8888273489064537,0.39388179779052734
k-Nearest Neighbors,0.49328364214913456,0.9169184630077527,0.6903685027152832,7.255419969558716
SVR (RBF),0.37054164096839315,1.021954965441457,0.7898172013297341,5.8663506507873535
SVR (Linear),0.31845373882346173,1.0633982110479467,0.8183145496791874,162.7327160835266
Decision Tree,0.3886880782147598,1.0071164466797025,0.6753678008053494,0.5037178993225098
Random Forest,0.6417171032679768,0.7710122778357947,0.5645366342848557,85.76834106445312
Extra Trees,0.6748720781608415,0.7344722462044534,0.5149218886672382,69.85961604118347
Gradient Boosting,0.49987588814051465,0.9109345033362364,0.7188055789039267,8.136363983154297
XGBoost,0.6234915691820907,0.790379392187134,0.5595579150409269,49.45252180099487
AdaBoost,0.3325703135473769,1.0523277315729913,0.8779595710958732,13.417005062103271
MLP Regressor,0.410983771566239,0.9885801497823463,0.7411001206224975,11.827923059463501
Gaussian Process,-19.01467714621674,5.762654072315653,5.120797961222741,16.286802053451538
Bayesian Ridge,0.3517359213694692,1.0371085966646587,0.8190909149889589,12.001436948776245
PLS Regression,0.32251421461035334,1.0602257535057844,0.8382386524961827,0.12745380401611328
