model,r2,rmse,mae,time_s
Ridge Regression,0.4322606308680821,0.9705608320437826,0.7613690060751176,0.8993477821350098
Lasso Regression,0.24690579018818892,1.1178226615270555,0.9115789590055676,0.364300012588501
ElasticNet,0.2844832201419588,1.089577601963781,0.8816433952002161,0.39388179779052734
k-Nearest Neighbors,0.6823467667695109,0.7259803996866909,0.5397377812257563,7.255419969558716
SVR (RBF),0.40415014880028255,0.9942982456333419,0.7580628249949422,5.8663506507873535
SVR (Linear),0.4113779090838673,0.9882493424886829,0.7466776928869072,162.7327160835266
Decision Tree,0.9830526720159747,0.16768679833658626,0.03229960163532701,0.5037178993225098
Random Forest,0.9402054270666688,0.3149772157519975,0.22000721472814277,85.76834106445312
Extra Trees,0.9830526720159747,0.16768679833658626,0.03229960163536246,69.85961604118347
Gradient Boosting,0.5900216757315135,0.8247621147418304,0.6514511118165868,8.136363983154297
XGBoost,0.9825338465260187,0.1702342303213306,0.04839073695352227,49.45252180099487
AdaBoost,0.36492573880152923,1.0265036816609385,0.8697421396989359,13.417005062103271
MLP Regressor,0.7159098547050873,0.6865565897387412,0.49890967068825165,11.827923059463501
Gaussian Process,0.9830526720155655,0.16768679833861078,0.03229960217784318,16.286802053451538
Bayesian Ridge,0.4056379632560113,0.9930561072712815,0.7838424857968381,12.001436948776245
PLS Regression,0.3966474442234421,1.0005385673929958,0.7926548050378285,0.12745380401611328
