model,r2,rmse,mae,time_s
Ridge Regression,0.3132858725145815,1.0592452398600611,0.8377602710829547,1.8800508975982666
Lasso Regression,0.21625984107984664,1.1316042771309265,0.9249825538008614,0.37515807151794434
ElasticNet,0.249533414079965,1.107322718188265,0.8989287189830063,0.37822675704956055
k-Nearest Neighbors,0.4935236986309768,0.9096788436927659,0.6880587142326273,8.232070207595825
SVR (RBF),0.3405916072536691,1.037972303296989,0.8073489379227448,6.432873964309692
SVR (Linear),0.2835947945074432,1.081901932149811,0.8403509969393169,159.4133701324463
Decision Tree,0.42227314915505,0.9715604028299837,0.6735596939728226,0.44348812103271484
Random Forest,0.6305760481666773,0.7769106142334589,0.5718608171624261,76.4003119468689
Extra Trees,0.6427045938513896,0.7640508200289386,0.543935268368375,62.59067893028259
Gradient Boosting,0.48988105371461543,0.9129442485169169,0.7236743294762302,8.094468116760254
XGBoost,0.6059221499736981,0.8024159310868526,0.5730258596506052,51.336955070495605
AdaBoost,0.3242236655615519,1.050775696469788,0.8724523759809986,2.0837209224700928
MLP Regressor,0.40165317548728163,0.9887466504084103,0.7514507719064442,14.708256006240845
Gaussian Process,-14.078957284902405,4.9635703937540345,3.9090487181957507,18.864621877670288
Bayesian Ridge,0.3218898248536681,1.052588596155848,0.8372572415443478,14.117311954498291
PLS Regression,0.3012631757784372,1.0684774128829324,0.850989493354456,0.12494516372680664
