model,r2,rmse,mae,time_s
Ridge Regression,0.4076539045629899,0.9837761622351587,0.7801553072337104,1.8800508975982666
Lasso Regression,0.22583597806870237,1.1246697705917323,0.9196776060908312,0.37515807151794434
ElasticNet,0.2633467633733708,1.0970845035832406,0.8911025629542632,0.37822675704956055
k-Nearest Neighbors,0.672296735120905,0.7317267198673414,0.5430211817168339,8.232070207595825
SVR (RBF),0.37731696235065226,1.0086536110521243,0.7725177746081343,6.432873964309692
SVR (Linear),0.38164161917052253,1.0051448588075957,0.7631918896938282,159.4133701324463
Decision Tree,0.9089015305566431,0.3858016406476511,0.1581498375680548,0.44348812103271484
Random Forest,0.8791129316206199,0.4444249710680649,0.289697005504042,76.4003119468689
Extra Trees,0.9089015305566431,0.3858016406476511,0.15814983756807988,62.59067893028259
Gradient Boosting,0.5836198855025907,0.824809244921018,0.6545892030982763,8.094468116760254
XGBoost,0.9087508909723016,0.38612048789915515,0.1647946993297292,51.336955070495605
AdaBoost,0.33299850905977724,1.0439313316624588,0.8743859287022606,2.0837209224700928
MLP Regressor,0.6922259911315778,0.7091277825185041,0.5175571366125489,14.708256006240845
Gaussian Process,0.90890152608885,0.38580165010819367,0.15814992961932658,18.864621877670288
Bayesian Ridge,0.3811352549830954,1.005556323438216,0.7984812681213591,14.117311954498291
PLS Regression,0.3763061980753798,1.0094719227630007,0.8036261906905555,0.12494516372680664
