model,r2,rmse,mae,time_s
Ridge Regression,0.34216363421167606,1.046138369963249,0.8296950198181096,0.8372809886932373
Lasso Regression,0.045523768664133435,1.2601224568824723,1.0623090819004086,0.028704166412353516
ElasticNet,0.14275428921448152,1.194215909794877,1.002865487504588,0.033965110778808594
k-Nearest Neighbors,0.42667295061547683,0.9766330305054679,0.7272042537587091,7.843393087387085
SVR (RBF),0.4891076336172411,0.9219235292126848,0.6926121005383123,5.94419527053833
SVR (Linear),0.32192233635032164,1.0621110119983275,0.8270193913938131,5.915491104125977
Decision Tree,0.4036753962491435,0.9960280209051978,0.7064768481799444,0.22017216682434082
Random Forest,0.5666478269255071,0.8490840478691152,0.6261553456537078,39.01588296890259
Extra Trees,0.4270461004589491,0.9763151580280225,0.6948368993047038,47.35367679595947
Gradient Boosting,0.430285178504619,0.97355154727707,0.7682272767788206,4.234097957611084
XGBoost,0.5303318764687686,0.883946000364629,0.640886173944225,40.12963581085205
AdaBoost,0.27333920404868606,1.0995020854302686,0.9092549971922018,1.269629955291748
MLP Regressor,0.4751859321047941,0.9344002077222042,0.7104555117746516,13.42196798324585
Gaussian Process,-4.458654779582138,3.0135125670088216,1.9480859430054804,16.925087213516235
Bayesian Ridge,0.34974156702519954,1.0400954316990758,0.8301991085811696,12.308151960372925
PLS Regression,0.34469173154441535,1.0441262544732284,0.8298356220077416,0.1811082363128662
