model,r2,rmse,mae,time_s
Ridge Regression,0.40819819618547826,0.9922436644713519,0.7866902877375912,0.8372809886932373
Lasso Regression,0.04897017933581349,1.257845382422341,1.0604790946973808,0.028704166412353516
ElasticNet,0.14980159119667724,1.1892970351895298,0.9987250422136387,0.033965110778808594
k-Nearest Neighbors,0.5892451986389221,0.8266497079420223,0.6034682801613495,7.843393087387085
SVR (RBF),0.6010969510927937,0.8146365099788392,0.5707459723363244,5.94419527053833
SVR (Linear),0.38604805049149726,1.0106420956638518,0.7696032656387783,5.915491104125977
Decision Tree,0.8417594157211263,0.5130847790157677,0.25986320719140077,0.22017216682434082
Random Forest,0.8127750711199819,0.5581000089207492,0.37367721972019824,39.01588296890259
Extra Trees,0.8417594157211263,0.5130847790157678,0.2598632071914207,47.35367679595947
Gradient Boosting,0.5061430041297705,0.9064227505147537,0.7141673001874893,4.234097957611084
XGBoost,0.8385924383440546,0.5181937023993646,0.2797570039590374,40.12963581085205
AdaBoost,0.3125061108150301,1.0694601668311463,0.8842289004809498,1.269629955291748
MLP Regressor,0.7320492155712939,0.6676636136828605,0.4577264135930349,13.42196798324585
Gaussian Process,0.841759411894931,0.513084785218862,0.2598663014836278,16.925087213516235
Bayesian Ridge,0.3998925465915082,0.9991822323128521,0.7961667952751723,12.308151960372925
PLS Regression,0.4030458468392535,0.9965536435608623,0.7917380564555699,0.1811082363128662
