model,r2,rmse,mae,time_s
Ridge Regression,0.31176061245874076,1.0604209316570683,0.8477793248866462,0.834136962890625
Lasso Regression,0.05406938253998639,1.2431918986411261,1.0381408102849923,0.0280609130859375
ElasticNet,0.1256470296440173,1.195231209724782,0.9985418410171905,0.0298919677734375
k-Nearest Neighbors,0.36496659886032523,1.0186073704338647,0.7625239687848384,7.227043151855469
SVR (RBF),0.4496863649437407,0.9482299461140652,0.7248641744008562,5.715950012207031
SVR (Linear),0.28895238657792643,1.07784887190882,0.8527014797230987,5.626069784164429
Decision Tree,0.39638354116281505,0.9930910468989764,0.7106614845149167,0.20438575744628906
Random Forest,0.5229280743125867,0.8828775225898368,0.6586676363011444,35.936487913131714
Extra Trees,0.4183914943953785,0.9748188186546839,0.7011658380055221,43.62467288970947
Gradient Boosting,0.40206654156063026,0.9884050551012887,0.7794773421619983,4.085079193115234
XGBoost,0.4778681990964636,0.9236312163682228,0.6801028984995502,39.48508095741272
AdaBoost,0.2312843921033877,1.1207051805161414,0.9302791404133794,1.214444875717163
MLP Regressor,0.4485619817050338,0.9491981483832024,0.7273745861666894,14.530203104019165
Gaussian Process,-3.8471218179925266,2.8141710902836667,1.7727671675875516,16.591458082199097
Bayesian Ridge,0.3218854746249935,1.0525919724462487,0.8459787435708488,10.04178500175476
PLS Regression,0.3119216468772462,1.0602968656262461,0.8492872637476577,0.12478303909301758
