model,r2,rmse,mae,time_s
Ridge Regression,0.38066976165071165,1.0059344284938976,0.8029764307456518,0.834136962890625
Lasso Regression,0.058561008039942686,1.2402368209757366,1.0362747544873525,0.0280609130859375
ElasticNet,0.1328680478094666,1.1902854496578887,0.9944983079500984,0.0298919677734375
k-Nearest Neighbors,0.5334546835933262,0.8730828289236241,0.6404741731698254,7.227043151855469
SVR (RBF),0.5670349116283472,0.8410754748536698,0.6023231187755546,5.715950012207031
SVR (Linear),0.36260616810526614,1.020498705635857,0.7893116660471328,5.626069784164429
Decision Tree,0.7768237056663022,0.6038548531785889,0.33957860134454715,0.20438575744628906
Random Forest,0.7532334285190638,0.6349677872916326,0.4292015692347432,35.936487913131714
Extra Trees,0.7768237056663023,0.6038548531785889,0.33957860134456175,43.62467288970947
Gradient Boosting,0.4844569872859611,0.9177850572788689,0.7207252513520114,4.085079193115234
XGBoost,0.7748807616597129,0.6064776982089883,0.3529027735137089,39.48508095741272
AdaBoost,0.25661239452264184,1.1020877824033168,0.9181891427368198,1.214444875717163
MLP Regressor,0.6548106678383634,0.7509952892401358,0.5419326721275419,14.530203104019165
Gaussian Process,0.776823082640257,0.6038556960482128,0.33958554223315596,16.591458082199097
Bayesian Ridge,0.37074643172518895,1.0139612858082594,0.8139498680493359,10.04178500175476
PLS Regression,0.3740041638579167,1.0113331714596274,0.8084212142367551,0.12478303909301758
