model,r2,rmse,mae,time_s
Ridge Regression,0.3224492286982672,1.0475297792508635,0.7726946632102829,16.554744958877563
Lasso Regression,0.22797057835058598,1.1181817033025858,0.9178958724414173,0.410538911819458
ElasticNet,0.3228646408369379,1.047208605307626,0.8557291947980549,0.42876291275024414
k-Nearest Neighbors,0.5359926731585286,0.866877787864002,0.6458326095538888,12.035495042800903
SVR (RBF),0.6018669771673044,0.8029889271792165,0.5914295993419826,15.129684925079346
SVR (Linear),0.25953148652094993,1.0950873292317425,0.7933458098638358,184.34968185424805
Decision Tree,0.3917875444191026,0.9924830783829169,0.6465850769838137,2.724637746810913
Random Forest,0.6757341687490142,0.724679623676539,0.5318253691275164,440.7117269039154
Extra Trees,0.44918407534305793,0.9444929048611039,0.618981097512837,593.4230737686157
Gradient Boosting,0.5463086769226115,0.8571872303404794,0.663612796114913,40.841675996780396
XGBoost,0.6373768365837986,0.7663430569974318,0.5164014269418035,256.21059918403625
AdaBoost,0.34952108037004914,1.0263891899196917,0.8645041622160053,179.5686981678009
MLP Regressor,0.570127175466058,0.8343830084838594,0.6036650355688303,23.157937049865723
Gaussian Process,-21.079647692584928,5.979867011745741,5.449672957265565,36.54246282577515
Bayesian Ridge,0.5435372592853769,0.8598013501111603,0.6635326857629833,94.41933107376099
PLS Regression,0.5060635995283602,0.8943983147370219,0.6942041456872764,0.49695515632629395
