model,r2,rmse,mae,time_s
Ridge Regression,0.8004031679388611,0.568554731372986,0.4341859589879978,16.554744958877563
Lasso Regression,0.23183820359790652,1.1153773168164667,0.9155321130186161,0.410538911819458
ElasticNet,0.3375429317257229,1.0357962279246644,0.8461881721035797,0.42876291275024414
k-Nearest Neighbors,0.7182139655912342,0.6755464072013623,0.4941973943939993,12.035495042800903
SVR (RBF),0.7732153806042785,0.606041346701474,0.39302993222056787,15.129684925079346
SVR (Linear),0.7539056184184959,0.6313152864756624,0.39420792495763657,184.34968185424805
Decision Tree,1.0,6.113265320643694e-17,4.2077145820771825e-18,2.724637746810913
Random Forest,0.956725897104545,0.26473386040155683,0.19293144097907608,440.7117269039154
Extra Trees,1.0,4.5430775548739245e-14,3.8085427253907935e-14,593.4230737686157
Gradient Boosting,0.667520251815254,0.7338005863392179,0.5678986171901359,40.841675996780396
XGBoost,0.9999624542518474,0.007797867245951169,0.004346161551311744,256.21059918403625
AdaBoost,0.38697369585480323,0.9964029643738851,0.8490999784558846,179.5686981678009
MLP Regressor,0.8532288992236221,0.48754615042958976,0.3515081525278973,23.157937049865723
Gaussian Process,1.0,6.058077331826478e-10,5.837863736311697e-10,36.54246282577515
Bayesian Ridge,0.7030825217938259,0.693447102161154,0.5352405333163532,94.41933107376099
PLS Regression,0.664457316887082,0.7371728680476666,0.573802059770804,0.49695515632629395
