model,r2,rmse,mae,time_s
Ridge Regression,0.2968715999873086,1.0718298552155021,0.7919047795872786,15.753018140792847
Lasso Regression,0.1749870332453788,1.1610179044457267,0.9593484088829761,0.3963921070098877
ElasticNet,0.27457852453167164,1.0886887475008373,0.8934955827964509,0.4918651580810547
k-Nearest Neighbors,0.5163790337645022,0.8889167508639688,0.6533311036789298,16.292407751083374
SVR (RBF),0.5819795573513604,0.8264323146855641,0.6043962942776315,16.526551246643066
SVR (Linear),0.1452106067068053,1.1817839630537577,0.842477090177921,137.44956398010254
Decision Tree,0.44811694102780797,0.9495810985750152,0.6294123460982024,2.517087936401367
Random Forest,0.6527955307283025,0.7531841695131668,0.5466680135578483,420.9688766002655
Extra Trees,0.489989609481439,0.9128471038835209,0.6144159585970103,536.916836977005
Gradient Boosting,0.5276419085148651,0.8785049432904158,0.6858538865001949,40.91696286201477
XGBoost,0.6255579731991974,0.7821694038852591,0.5353845763941849,272.5821762084961
AdaBoost,0.33965358157852354,1.0387103122976347,0.8611200890503096,23.222625970840454
MLP Regressor,0.5665947186234253,0.8415029244267735,0.6179707067372789,23.920719146728516
Gaussian Process,-15.264427546709538,5.154991114831068,4.19984764373815,39.586803913116455
Bayesian Ridge,0.5269238867734753,0.8791723883194495,0.6840983577676913,94.78116416931152
PLS Regression,0.4833161291805357,0.9187999909198357,0.7158238181012327,0.5363600254058838
