model,r2,rmse,mae,time_s
Ridge Regression,0.772997292866126,0.6090094732221296,0.46107252358670037,15.753018140792847
Lasso Regression,0.1831928244509068,1.1552295840692774,0.9555612273323371,0.3963921070098877
ElasticNet,0.29139316724834896,1.0759973403262846,0.8836414826990685,0.4918651580810547
k-Nearest Neighbors,0.6954623046744984,0.7053896098414272,0.5059561501300632,16.292407751083374
SVR (RBF),0.73056299751118,0.6634942280043405,0.4318814634775022,16.526551246643066
SVR (Linear),0.7264230636446597,0.6685721333628029,0.42169889481338635,137.44956398010254
Decision Tree,0.9343438020103472,0.32752646283106407,0.11370357559222709,2.517087936401367
Random Forest,0.9017806758361664,0.40059636178673463,0.2583608282411211,420.9688766002655
Extra Trees,0.9343438020103472,0.32752646283106407,0.1137035755922555,536.916836977005
Gradient Boosting,0.6387904483425615,0.7682244815480376,0.5977026432809315,40.91696286201477
XGBoost,0.934322762950876,0.32757893538505367,0.1165368091054496,272.5821762084961
AdaBoost,0.4069200479240055,0.9843853729702434,0.823372586045528,23.222625970840454
MLP Regressor,0.8063603273834513,0.5624782060912754,0.3952429548377336,23.920719146728516
Gaussian Process,0.9343437936926592,0.32752648357748954,0.11370358508880482,39.586803913116455
Bayesian Ridge,0.6741658254962921,0.7296369953345364,0.5641579759471158,94.78116416931152
PLS Regression,0.624953111803747,0.7828008943940867,0.6076005620684274,0.5363600254058838
