model,r2,rmse,mae,time_s
Ridge Regression,0.3639290999830893,1.0329597816461282,0.773285867028909,7.339200973510742
Lasso Regression,0.13702291067375227,1.2031791072864042,1.0027619789732323,0.4435298442840576
ElasticNet,0.2139616879344829,1.1482924414846725,0.9558964741720519,0.39253711700439453
k-Nearest Neighbors,0.4993233264286403,0.9164511658484951,0.6775614934114201,14.059492111206055
SVR (RBF),0.527917047087892,0.8898971339046164,0.6621287987232262,14.013670206069946
SVR (Linear),0.2908255984934246,1.0907046743584805,0.79421875854113,28.680397748947144
Decision Tree,0.4071910365463298,0.9972132257486148,0.6752257154129178,1.0439939498901367
Random Forest,0.6232377014758073,0.794994946153805,0.5792737386638663,179.4218728542328
Extra Trees,0.45237370546486333,0.9584573570711745,0.6552091043116982,214.7717969417572
Gradient Boosting,0.4869372424320578,0.9277178107582726,0.7228077056698786,19.780329942703247
XGBoost,0.5784366903353317,0.8409342706693173,0.5871183717582447,183.97265791893005
AdaBoost,0.3050338130791507,1.0797233322729698,0.894038603169072,7.473912000656128
MLP Regressor,0.5159114966405913,0.9011415886114024,0.6749776920486206,21.873820781707764
Gaussian Process,-10.920717560305649,4.471794609420891,3.4336020707983863,30.00013303756714
Bayesian Ridge,0.46100750395765644,0.9508718890590324,0.7353914357394546,45.249895095825195
PLS Regression,0.42889948454561533,0.9787841433660089,0.7587982819304451,0.36516809463500977
