model,r2,rmse,mae,time_s
Ridge Regression,0.6436017927436041,0.7732116774415806,0.5882125041394567,7.339200973510742
Lasso Regression,0.14110104588309424,1.2003328337535593,1.000203573392897,0.4435298442840576
ElasticNet,0.22197357573113374,1.142425326875016,0.9512306050538527,0.39253711700439453
k-Nearest Neighbors,0.6643021576601533,0.7504209048307675,0.5471156661786238,14.059492111206055
SVR (RBF),0.6494196085007836,0.7668747876028386,0.523315864357333,14.013670206069946
SVR (Linear),0.6078875280000584,0.8110282408346264,0.554727476249695,28.680397748947144
Decision Tree,0.9114791189480217,0.38534835808773327,0.14335263014861285,1.0439939498901367
Random Forest,0.8765921262727435,0.4549902432130272,0.29214000777384186,179.4218728542328
Extra Trees,0.9114791189480218,0.3853483580877332,0.14335263014863986,214.7717969417572
Gradient Boosting,0.5681347474956371,0.8511474065741067,0.6607911474153244,19.780329942703247
XGBoost,0.9093518917740954,0.3899509848057847,0.1673800386202632,183.97265791893005
AdaBoost,0.3220763572583789,1.0664022165322675,0.8968736031245916,7.473912000656128
MLP Regressor,0.7358469955301485,0.6656691438313309,0.47442214805323735,21.873820781707764
Gaussian Process,0.9114791744588553,0.3853482372630664,0.14335698850758605,30.00013303756714
Bayesian Ridge,0.5641504704347171,0.8550646253610127,0.658281359916741,45.249895095825195
PLS Regression,0.5253267080367905,0.892335245506854,0.6899453892028051,0.36516809463500977
