model,r2,rmse,mae,time_s
Ridge Regression,0.33983191723650674,1.0385700438036207,0.7905139101546945,7.99180006980896
Lasso Regression,0.10667257481205517,1.208130541747147,1.0035099812232582,0.36769914627075195
ElasticNet,0.18768531183158577,1.152048288469852,0.9575760948027523,0.44895315170288086
k-Nearest Neighbors,0.4618548993424403,0.9376877132028759,0.6993831289483463,11.951032638549805
SVR (RBF),0.48808882129924325,0.9145465940666109,0.6904790671461395,13.72899317741394
SVR (Linear),0.2534252478793202,1.1044477616206776,0.8146763701511174,22.8267982006073
Decision Tree,0.41646830452100725,0.9764291926552815,0.678115447170115,0.9538369178771973
Random Forest,0.5675615982429076,0.8405637499979426,0.6150765678888306,160.94454717636108
Extra Trees,0.44273428079176036,0.9542006188258373,0.6678759757890058,205.7814428806305
Gradient Boosting,0.44843019411971075,0.9493115655350661,0.746603258245849,18.733266830444336
XGBoost,0.535817173735924,0.8708694668495919,0.6243491429159165,180.48476219177246
AdaBoost,0.2849392036430455,1.080886304499152,0.8940119269942434,4.826782941818237
MLP Regressor,0.4740418150184136,0.9270094021576214,0.704229682870319,19.207998037338257
Gaussian Process,-9.36081265424846,4.114389854229243,2.968207594666321,28.57143807411194
Bayesian Ridge,0.4344091813782337,0.9613016890691425,0.751595544899017,48.05370497703552
PLS Regression,0.3977581094583569,0.9919596583522772,0.7777069026264805,0.35788631439208984
