model,r2,rmse,mae,time_s
Ridge Regression,0.6160736663898916,0.7920133111813576,0.6052530751047732,7.99180006980896
Lasso Regression,0.11252847613274097,1.2041642886565045,1.0008350429193325,0.36769914627075195
ElasticNet,0.19617977432499834,1.146008911636778,0.9531239786018009,0.44895315170288086
k-Nearest Neighbors,0.6230818883617688,0.7847512809936544,0.5716469713861019,11.951032638549805
SVR (RBF),0.6107601011960896,0.7974752354038916,0.556803199242365,13.72899317741394
SVR (Linear),0.5869838725461454,0.8214706194064599,0.5729259776831904,22.8267982006073
Decision Tree,0.839270211056041,0.5124561591042299,0.24477481812544793,0.9538369178771973
Random Forest,0.8103141621105834,0.556706104607442,0.3601081151101096,160.94454717636108
Extra Trees,0.839270211056041,0.5124561591042299,0.24477481812546983,205.7814428806305
Gradient Boosting,0.5336470579604079,0.8729028077464389,0.6851224029369275,18.733266830444336
XGBoost,0.8382286252217723,0.5141139262186263,0.2578473048669084,180.48476219177246
AdaBoost,0.32741886197256964,1.048288621518255,0.8676967771120696,4.826782941818237
MLP Regressor,0.6708064840033117,0.7333886191521568,0.5262009185351013,19.207998037338257
Gaussian Process,0.8392699401740511,0.5124565909317293,0.2447729880760877,28.57143807411194
Bayesian Ridge,0.5366314830111427,0.870105254632607,0.6745950201474002,48.05370497703552
PLS Regression,0.5027819161281291,0.9013261840861477,0.7033793897429507,0.35788631439208984
