model,r2,rmse,mae,time_s
Ridge Regression,0.3128160832410365,1.0510421583549998,0.7799244087022581,15.017150163650513
Lasso Regression,0.19918040326258002,1.1346214488837414,0.9362972160354008,0.4125080108642578
ElasticNet,0.32293646525981023,1.0432739303586793,0.853188509317699,0.5076549053192139
k-Nearest Neighbors,0.5652035498848559,0.8360391941143599,0.6302806464327946,11.213762998580933
SVR (RBF),0.6119379512208623,0.7898310980617446,0.584573261391747,15.095787048339844
SVR (Linear),0.17181881187133874,1.1538419483344944,0.8316806291510308,169.42532086372375
Decision Tree,0.4194112747949683,0.9660907902765424,0.6342136381553015,2.6094987392425537
Random Forest,0.6855232092281787,0.7110136568673991,0.5233500039416629,439.8140962123871
Extra Trees,0.4704223013066532,0.9226744341084523,0.6059132676389497,581.0995988845825
Gradient Boosting,0.5519135798618638,0.8487201912140698,0.6542981634853948,41.04596281051636
XGBoost,0.684142667188143,0.712572610264266,0.4910368227742533,259.0162398815155
AdaBoost,0.3603928157518762,1.014005497919136,0.8538149568598258,183.56818890571594
MLP Regressor,0.602980582851119,0.7988946574540963,0.589767482519734,25.075520992279053
Gaussian Process,-21.026458497517673,5.950534544087777,5.412174489612101,33.172435998916626
Bayesian Ridge,0.5556688688242222,0.8451562632619178,0.6522556672873445,97.5930700302124
PLS Regression,0.5137672737328227,0.8841088463851171,0.6834956464285342,0.5334081649780273
