model,r2,rmse,mae,time_s
Ridge Regression,0.8105166502599698,0.5519111525195475,0.43213161191713045,15.017150163650513
Lasso Regression,0.2063140797345242,1.1295565575975692,0.9321809233548799,0.4125080108642578
ElasticNet,0.341170737507703,1.029129632585392,0.8419302363220552,0.5076549053192139
k-Nearest Neighbors,0.7298556125549882,0.6589942385070561,0.48507055577453684,11.213762998580933
SVR (RBF),0.7777332387307416,0.5977518154138199,0.39012864374819956,15.095787048339844
SVR (Linear),0.7567185555568292,0.6253715729838044,0.3902074461456906,169.42532086372375
Decision Tree,1.0,4.319322268754232e-17,2.1005402121406193e-18,2.6094987392425537
Random Forest,0.9594275843299616,0.25538717036691055,0.18617930626724444,439.8140962123871
Extra Trees,1.0,4.5200192418012524e-14,3.784858381245575e-14,581.0995988845825
Gradient Boosting,0.673379046206054,0.7246122378390822,0.5603937532189281,41.04596281051636
XGBoost,0.9998337947443409,0.01634579392923162,0.006799517448464373,259.0162398815155
AdaBoost,0.40070918350940343,0.9815274603873323,0.8374639260194074,183.56818890571594
MLP Regressor,0.8905753666889159,0.41941232929841343,0.29124414242335944,25.075520992279053
Gaussian Process,1.0,6.03594978441438e-10,5.811674256629425e-10,33.172435998916626
Bayesian Ridge,0.7116945272738595,0.6807851695066474,0.5249078825290602,97.5930700302124
PLS Regression,0.6710749288749964,0.7271636011877499,0.5631815979854364,0.5334081649780273
