model,r2,rmse,mae,time_s
Ridge Regression,0.28936601891504077,1.077535321876321,0.7950398998521017,16.378957986831665
Lasso Regression,0.13783894815445452,1.1868688448705138,0.98113154567986,0.4383432865142822
ElasticNet,0.2658736095526556,1.0952012938294402,0.9007075293522693,0.448638916015625
k-Nearest Neighbors,0.5084753974015848,0.8961509310753334,0.6560631735414345,16.442575216293335
SVR (RBF),0.5798983216758666,0.8284870764561885,0.6038705127003354,16.74160599708557
SVR (Linear),0.17597302725575237,1.1603239159980452,0.8260667244176597,128.87935376167297
Decision Tree,0.4531211647890432,0.9452661106549888,0.6343011702589518,2.627317190170288
Random Forest,0.6424860819987597,0.7642844203481661,0.5526526498254405,442.41850304603577
Extra Trees,0.4971902093321753,0.9063801646515723,0.613275085364714,572.5650019645691
Gradient Boosting,0.5293094481185125,0.8769529036416291,0.6819389291497484,41.74533987045288
XGBoost,0.6317874402708552,0.77563576973381,0.5378533245896105,274.0705909729004
AdaBoost,0.3615412673745808,1.0213508289534312,0.8379072054277897,12.184372186660767
MLP Regressor,0.583542400760177,0.8248859862886454,0.6017647631273693,26.67358374595642
Gaussian Process,-15.154645323226319,5.137563984388144,4.17632635630217,37.45144200325012
Bayesian Ridge,0.5265593210705033,0.8795110805139321,0.6814201627226254,116.19350504875183
PLS Regression,0.4897573611643813,0.9130549261917571,0.7130687429320858,0.5538649559020996
