model,r2,rmse,mae,time_s
Ridge Regression,0.764886468333533,0.6197939641266164,0.4603215818874788,16.378957986831665
Lasso Regression,0.14707928930843983,1.1804914883101298,0.9760926821631035,0.4383432865142822
ElasticNet,0.282357071093861,1.0828361223659773,0.8905450900616317,0.448638916015625
k-Nearest Neighbors,0.6876193259844116,0.7144150728540589,0.5103976217019696,16.442575216293335
SVR (RBF),0.7238546331970481,0.6717031894564427,0.43425274478922027,16.74160599708557
SVR (Linear),0.7178339118868813,0.6789861859543187,0.41934757945799506,128.87935376167297
Decision Tree,0.9254087975080598,0.3491019978674276,0.11850340631153485,2.627317190170288
Random Forest,0.8927841444624656,0.4185410289864373,0.2622341300417645,442.41850304603577
Extra Trees,0.9254087975080598,0.3491019978674276,0.11850340631156345,572.5650019645691
Gradient Boosting,0.638608582577758,0.7684178542738002,0.5939293728243838,41.74533987045288
XGBoost,0.925375485866157,0.34917994179564477,0.12193422755890287,274.0705909729004
AdaBoost,0.4111864968589889,0.9808382877097704,0.8133957286116947,12.184372186660767
MLP Regressor,0.768680878247921,0.6147723088290591,0.4394008490309732,26.67358374595642
Gaussian Process,0.925408801675884,0.34910198811429516,0.11850356594087806,37.45144200325012
Bayesian Ridge,0.6617413857928818,0.7434178123737237,0.5689881907107793,116.19350504875183
PLS Regression,0.6252034294142206,0.782539618321696,0.606311931009968,0.5538649559020996
