model,r2,rmse,mae,time_s
Ridge Regression,0.2179539888658717,1.1133353875857392,0.9107606115884889,0.10970497131347656
Lasso Regression,0.012846513061888776,1.2508412727149727,1.0468959719817166,0.014107942581176758
ElasticNet,0.10415896957768833,1.19158584533325,0.9936622849560246,0.014869928359985352
k-Nearest Neighbors,0.32439142644512864,1.0348024228864972,0.7911536764705883,0.49555397033691406
SVR (RBF),0.39661630536459624,0.9779274703482981,0.7449588843366969,4.504812717437744
SVR (Linear),0.200851636607553,1.1254431650792185,0.9055519320346762,2.952873945236206
Decision Tree,0.3549947931822667,1.0110938552848585,0.740748825704679,0.056501150131225586
Random Forest,0.44060318513991836,0.9416073837279525,0.7133146715146504,11.569907188415527
Extra Trees,0.36324625575975755,1.0046056457373302,0.7373180302852542,12.760977745056152
Gradient Boosting,0.33431561992186765,1.0271740619087795,0.8255930046015565,1.413748025894165
XGBoost,0.39808895630083574,0.9767333499104789,0.7277130819734404,9.833062887191772
AdaBoost,0.21316211415535313,1.1167410799925748,0.9313078070144333,0.5800180435180664
MLP Regressor,0.36190745695799276,1.0056612018524729,0.7903567541264793,10.073482036590576
Gaussian Process,0.33260817614219473,1.0284905407297351,0.760913168291397,13.025046110153198
Bayesian Ridge,0.21857428108614763,1.112893770172738,0.911157027758911,0.35558223724365234
PLS Regression,0.21788139230706483,1.1133870612987706,0.9107375478915294,0.1069490909576416
