model,r2,rmse,mae,time_s
Ridge Regression,0.2373868942855658,1.0994158481217935,0.899795508158195,0.10970497131347656
Lasso Regression,0.014561446897141006,1.249754287505217,1.0462161082272392,0.014107942581176758
ElasticNet,0.10886055407211559,1.1884548704740652,0.9914646694856015,0.014869928359985352
k-Nearest Neighbors,0.4944377569308034,0.8951528048984972,0.6741191176470588,0.49555397033691406
SVR (RBF),0.48928619625726055,0.8997019441635964,0.6538810508639993,4.504812717437744
SVR (Linear),0.22166409923557995,1.1106913565683136,0.8896547370777351,2.952873945236206
Decision Tree,0.6785198235270102,0.7138171201505654,0.4547279941878944,0.056501150131225586
Random Forest,0.660380218888799,0.7336794412293175,0.5194060965038373,11.569907188415527
Extra Trees,0.6785198235270102,0.7138171201505654,0.45472799418790427,12.760977745056152
Gradient Boosting,0.39451000256817415,0.9796328668544999,0.7870342933185673,1.413748025894165
XGBoost,0.675577577354539,0.717076173576371,0.46864618437430433,9.833062887191772
AdaBoost,0.23258351602687577,1.1028727915388905,0.9263551829830108,0.5800180435180664
MLP Regressor,0.5681777415475302,0.8272987593462922,0.626193470689974,10.073482036590576
Gaussian Process,0.6785198130494489,0.7138171317827952,0.45473931067478024,13.025046110153198
Bayesian Ridge,0.23692510618010854,1.0997486645421433,0.9007670583239982,0.35558223724365234
PLS Regression,0.23739143577026045,1.0994125745171024,0.8997384270920077,0.1069490909576416
