model,r2,rmse,mae,time_s
Ridge Regression,0.24221331138245272,1.112710063911354,0.8989024627840482,0.1087801456451416
Lasso Regression,0.06853703354691643,1.2336481912493151,1.0272902949412959,0.01423501968383789
ElasticNet,0.12444472503288162,1.1960526962266154,0.994860346722275,0.014240026473999023
k-Nearest Neighbors,0.2912866068728338,1.0760782415856762,0.8085938312894835,0.6398890018463135
SVR (RBF),0.3925559066061254,0.9962347506422189,0.7613788858471001,3.9508509635925293
SVR (Linear),0.23319476687216412,1.1193117531612964,0.8952998559922306,2.504518985748291
Decision Tree,0.34888706908805533,1.031422711537127,0.7643868915010253,0.055336952209472656
Random Forest,0.42262702537579366,0.971262801300651,0.7421128694247254,11.145412921905518
Extra Trees,0.36117607652377837,1.0216428874986476,0.7608884476073651,12.173964023590088
Gradient Boosting,0.33655140339453404,1.0411472823876993,0.8324175101017286,1.3938992023468018
XGBoost,0.37947971169961203,1.0069004217791182,0.7532216294004057,9.72853398323059
AdaBoost,0.24204533694582697,1.1128333812593714,0.9229217568543976,0.4494359493255615
MLP Regressor,0.37923791107232363,1.007096584132238,0.7880243704410542,11.839938163757324
Gaussian Process,0.3158370267842304,1.0572758523440826,0.7848975876033556,12.890803098678589
Bayesian Ridge,0.2427300310225058,1.1123306318105588,0.8998921748661713,0.5076429843902588
PLS Regression,0.24203521304425057,1.1128408132197194,0.8988464123518226,0.08388185501098633
