model,r2,rmse,mae,time_s
Ridge Regression,0.2605990166774925,1.0991286841684087,0.8880221597930996,0.1087801456451416
Lasso Regression,0.07330791091810518,1.2304848126798595,1.025213897272839,0.01423501968383789
ElasticNet,0.12895929864133127,1.1929651433381772,0.9927115263124551,0.014240026473999023
k-Nearest Neighbors,0.44592648230676757,0.9514637060584541,0.7065819397993311,0.6398890018463135
SVR (RBF),0.4741081319372764,0.9269509580198152,0.6785670622451953,3.9508509635925293
SVR (Linear),0.25133106136963235,1.105995697643259,0.8805955517237448,2.504518985748291
Decision Tree,0.6442966352534323,0.76234668591707,0.5085543408099873,0.055336952209472656
Random Forest,0.6288734717310123,0.7786988431092786,0.562427736955937,11.145412921905518
Extra Trees,0.6442966352534323,0.7623466859170701,0.508554340809995,12.173964023590088
Gradient Boosting,0.39284289967920294,0.9959993822731467,0.7964042059359899,1.3938992023468018
XGBoost,0.642815469179874,0.7639322613274847,0.5159130173693444,9.72853398323059
AdaBoost,0.262964911329451,1.0973688094580147,0.9127987304774082,0.4494359493255615
MLP Regressor,0.5407525398401754,0.8662273892109086,0.6620261833698722,11.839938163757324
Gaussian Process,0.6442969432387513,0.7623463558785305,0.5085603014954245,12.890803098678589
Bayesian Ridge,0.260182470837515,1.099438240842068,0.8895786275307268,0.5076429843902588
PLS Regression,0.26060371514666314,1.0991251919966658,0.8878374293438517,0.08388185501098633
