model,r2,rmse,mae,time_s
Ridge Regression,0.43459208467092625,0.9597563334762212,0.7317223616671223,5.508484125137329
Lasso Regression,0.10106886620035982,1.2101612870843177,1.002280751063692,0.6397099494934082
ElasticNet,0.2004307778050406,1.1413217114299605,0.9434220971382345,0.7827780246734619
k-Nearest Neighbors,0.481109449264982,0.9194284239173444,0.6953998482549317,9.642334938049316
SVR (RBF),0.2844328485740646,1.079705323338308,0.8569106815243109,8.549899101257324
SVR (Linear),0.38635829981347614,0.9998560458031376,0.7330566630575717,83.01566910743713
Decision Tree,0.4714550077856833,0.9279424143937791,0.5993664643399089,0.8216619491577148
Random Forest,0.6764077359863769,0.7260710318477577,0.5255361380880119,129.3381381034851
Extra Trees,0.6670681785418451,0.7364744726387729,0.48864760242792965,134.8546848297119
Gradient Boosting,0.49250770899745655,0.9092739927593549,0.7275169150339943,10.487014055252075
XGBoost,0.6822506003936376,0.7194861098672124,0.4901106380222419,98.25894594192505
AdaBoost,0.27550263369259886,1.0864217467809116,0.9163789650612013,8.554346084594727
MLP Regressor,0.48175526098770216,0.91885608498897,0.6847230688209626,14.054609775543213
Gaussian Process,-14.612226742156942,5.043272906399922,4.389742290879622,20.883974075317383
Bayesian Ridge,0.4593661371775507,0.9384943598073363,0.7285937476882262,22.404014825820923
PLS Regression,0.4289438934884203,0.9645382052973908,0.7464442535361165,0.19839000701904297
