model,r2,rmse,mae,time_s
Ridge Regression,0.6045044517023305,0.8026955298563646,0.6224680587951725,5.508484125137329
Lasso Regression,0.10843922622507518,1.205190004069993,0.9985712787520784,0.6397099494934082
ElasticNet,0.21291990103650926,1.132373012720316,0.9364813374680269,0.7827780246734619
k-Nearest Neighbors,0.6672761946073221,0.7362443617731765,0.550731411229135,9.642334938049316
SVR (RBF),0.3246861218297854,1.0488970939048754,0.8234864853157954,8.549899101257324
SVR (Linear),0.5602030318309081,0.8464594546822768,0.5949337208764024,83.01566910743713
Decision Tree,1.0,2.5424615246329577e-16,3.2346406787257976e-17,0.8216619491577148
Random Forest,0.9589024338661781,0.25875461014447027,0.18725297420333856,129.3381381034851
Extra Trees,1.0,4.536704669639343e-14,3.814955432993448e-14,134.8546848297119
Gradient Boosting,0.5884296109324125,0.8188457615428608,0.660344905603722,10.487014055252075
XGBoost,0.9954832944616478,0.08578096622859187,0.05232142892339704,98.25894594192505
AdaBoost,0.30989263060272,1.060323476711784,0.8951357312147562,8.554346084594727
MLP Regressor,0.705605707358422,0.6925398009715867,0.5094433184196094,14.054609775543213
Gaussian Process,1.0,5.162662288818386e-10,4.90019183045236e-10,20.883974075317383
Bayesian Ridge,0.5615206052480277,0.8451905634521886,0.6600625641009031,22.404014825820923
PLS Regression,0.5448744133671424,0.8610842993858643,0.6725512867917821,0.19839000701904297
