model,r2,rmse,mae,time_s
Ridge Regression,0.40293162051869735,0.9876897933158136,0.7570880819234418,2.487436056137085
Lasso Regression,0.09699780754095622,1.2146549723838775,1.0043035049668625,0.44854092597961426
ElasticNet,0.17834446972729423,1.1586530823502499,0.9573381599817987,0.5110650062561035
k-Nearest Neighbors,0.47538349909292577,0.9258262777346707,0.6968182831661093,9.376607894897461
SVR (RBF),0.2652587142734384,1.095659861426324,0.8766566587023351,9.141974210739136
SVR (Linear),0.3469892332061738,1.0329247909963553,0.7610119575651564,91.77196311950684
Decision Tree,0.4996267878254661,0.9041813725089394,0.6025379572118703,0.6840221881866455
Random Forest,0.6629578689870763,0.742079827488687,0.5355289074954636,115.82590293884277
Extra Trees,0.6656196226701692,0.7391437717171334,0.5016857688768617,120.64989113807678
Gradient Boosting,0.4879962129622505,0.9146293142850638,0.7308655213477461,10.455384969711304
XGBoost,0.6590326605736723,0.7463884673265917,0.5239342178938692,100.57966208457947
AdaBoost,0.25925000409510424,1.1001308891779384,0.9254643821947177,4.5597429275512695
MLP Regressor,0.45715679043529045,0.9417719144985743,0.695919041455815,17.408411741256714
Gaussian Process,-10.880972529606957,4.405898884378008,3.486634990081646,22.421547889709473
Bayesian Ridge,0.43453739947933245,0.961192720483227,0.7550597982778771,23.776262044906616
PLS Regression,0.4079016583887536,0.9835704043166985,0.7669681053741212,0.22392606735229492
