model,r2,rmse,mae,time_s
Ridge Regression,0.5826314609531262,0.8257876519387909,0.6449063904525364,2.487436056137085
Lasso Regression,0.10829760901470398,1.2070311984167703,0.998755162842762,0.44854092597961426
ElasticNet,0.1939408945731257,1.1476037906508514,0.948487947336317,0.5110650062561035
k-Nearest Neighbors,0.6683765858597337,0.7360903479679713,0.5405901151988108,9.376607894897461
SVR (RBF),0.30525110297032987,1.0654239690477227,0.8441166362233703,9.141974210739136
SVR (Linear),0.5416560907753438,0.8653748358623938,0.6158787826056719,91.77196311950684
Decision Tree,0.9596240588825522,0.25684425685565393,0.0834128665215622,0.6840221881866455
Random Forest,0.9265988066507647,0.3463060592033471,0.23092642457772636,115.82590293884277
Extra Trees,0.9596240588825522,0.256844256855654,0.08341286652159165,120.64989113807678
Gradient Boosting,0.5653048969563641,0.8427541578760294,0.6775817223187547,10.455384969711304
XGBoost,0.9550370264144746,0.2710416562969806,0.12686726909284476,100.57966208457947
AdaBoost,0.2961729302867848,1.0723622395635908,0.9062165995659982,4.5597429275512695
MLP Regressor,0.7522935789920471,0.6361758257696314,0.4514768966829628,17.408411741256714
Gaussian Process,0.9596240560942949,0.25684426572415137,0.0834129626662844,22.421547889709473
Bayesian Ridge,0.5330827365407738,0.8734307864268324,0.687574218626904,23.776262044906616
PLS Regression,0.5243284152638436,0.8815808228037685,0.6934088041978166,0.22392606735229492
