model,r2,rmse,mae,time_s
Ridge Regression,0.46788006892847855,0.9388274293505235,0.7313439849065956,2.6501710414886475
Lasso Regression,0.08888771175547505,1.2284767985878353,1.0253498294914947,0.2828481197357178
ElasticNet,0.16661852032391844,1.1749054789953197,0.9812917429258464,0.25919294357299805
k-Nearest Neighbors,0.5254178379153107,0.8866183427268217,0.6611571701720841,8.262022256851196
SVR (RBF),0.5673267892216107,0.8465663657206505,0.6240835559386514,7.8378541469573975
SVR (Linear),0.4229277995575589,0.9776785417463421,0.7377877751573111,11.431382894515991
Decision Tree,0.42118260973009247,0.9791557802847357,0.6314302103250479,0.5823578834533691
Random Forest,0.6657579249295715,0.744066181812387,0.5378250172084125,97.30073380470276
Extra Trees,0.4527992741628998,0.9520381221369184,0.6119508986615761,125.65753698348999
Gradient Boosting,0.49723495158060005,0.9125644490671637,0.7268964496011053,8.529725313186646
XGBoost,0.6377281887813306,0.7746370729985396,0.5335784091001259,87.84780597686768
AdaBoost,0.25260058206532676,1.1126469564490866,0.941233885136708,6.162819862365723
MLP Regressor,0.5887306284635916,0.8253614687970642,0.6194405128965478,16.966688871383667
Gaussian Process,-8.433594610948205,3.9529344380581692,3.2383503968738028,20.680185079574585
Bayesian Ridge,0.4769350252361031,0.9308052552931952,0.7303572731972547,20.853525161743164
PLS Regression,0.4523746520316454,0.9524074363968184,0.7436243526569357,0.20778512954711914
