model,r2,rmse,mae,time_s
Ridge Regression,0.5936370335159609,0.8204234546180339,0.6412437246903231,2.6501710414886475
Lasso Regression,0.09169125709764958,1.2265852952288894,1.024011538000061,0.2828481197357178
ElasticNet,0.1746402399697502,1.169237275456217,0.9768994646319118,0.25919294357299805
k-Nearest Neighbors,0.704402593636949,0.6997313245649631,0.51711051625239,8.262022256851196
SVR (RBF),0.702707741451674,0.701734464734821,0.46685336541143724,7.8378541469573975
SVR (Linear),0.555975657153035,0.8575992582904538,0.6127357929878863,11.431382894515991
Decision Tree,1.0,7.368865382975961e-17,6.113656426234132e-18,0.5823578834533691
Random Forest,0.9571841869637777,0.26630732014359854,0.1915169713193116,97.30073380470276
Extra Trees,1.0,4.529653332187046e-14,3.799263856567354e-14,125.65753698348999
Gradient Boosting,0.5749067875507659,0.8391181055703546,0.667890555102463,8.529725313186646
XGBoost,0.993587049975057,0.10306469785501193,0.059499309919076496,87.84780597686768
AdaBoost,0.2591960928803694,1.107726738096001,0.9408890646678781,6.162819862365723
MLP Regressor,0.8464192108538683,0.5043702407192678,0.3445418829501584,16.966688871383667
Gaussian Process,1.0,4.166089712187788e-10,3.7219808335864104e-10,20.680185079574585
Bayesian Ridge,0.560357134151826,0.8533575235135088,0.669222664565077,20.853525161743164
PLS Regression,0.5500748373046086,0.8632789431041417,0.6743668665601849,0.20778512954711914
