model,r2,rmse,mae,time_s
Ridge Regression,0.44000454914451803,0.9565348101920383,0.7519866457562803,2.641618251800537
Lasso Regression,0.05486060163159412,1.242671858945675,1.034340153301247,0.28269004821777344
ElasticNet,0.13726659250033724,1.1872627378606144,0.9906250003048992,0.2806069850921631
k-Nearest Neighbors,0.48605935504385944,0.9163576558310751,0.6791876625789669,9.451995134353638
SVR (RBF),0.5463569942087959,0.8609256351213596,0.6413076498679023,8.332313060760498
SVR (Linear),0.39477765845144996,0.9944111968226618,0.7585073698699343,11.21474814414978
Decision Tree,0.4815497282187101,0.920369213923757,0.6240004394476245,0.5557990074157715
Random Forest,0.6467935202482632,0.7596663005313138,0.5545618813001704,91.48410606384277
Extra Trees,0.5137353299646423,0.8913430618628471,0.6048183215397731,119.08759093284607
Gradient Boosting,0.47026007943001946,0.9303361165585851,0.7446073482577578,8.625319957733154
XGBoost,0.6246043891612381,0.7831647381953487,0.5533676637091719,90.13488221168518
AdaBoost,0.2597741984658908,1.0997415645195652,0.9280340152874257,3.4603450298309326
MLP Regressor,0.5636508040205286,0.844356050912529,0.643092323531934,14.494281768798828
Gaussian Process,-6.904183544496013,3.5936604351683616,2.717039095115193,20.71055579185486
Bayesian Ridge,0.4549336710129841,0.9436983752237479,0.7492470667686434,21.126757860183716
PLS Regression,0.4337751819769099,0.9618403240469365,0.7604996748214559,0.20946311950683594
