model,r2,rmse,mae,time_s
Ridge Regression,0.572878156344795,0.8353806687964328,0.6596637650746866,2.641618251800537
Lasso Regression,0.060252420348597346,1.2391222002154012,1.0322178887009448,0.28269004821777344
ElasticNet,0.14542503928852835,1.1816357225146128,0.9861583850306873,0.2806069850921631
k-Nearest Neighbors,0.6696116118869164,0.7347184021343025,0.530580453363062,9.451995134353638
SVR (RBF),0.6739031423411868,0.7299310478763916,0.4956489045240864,8.332313060760498
SVR (Linear),0.535353494867387,0.8713043202685289,0.6322706440733296,11.21474814414978
Decision Tree,0.9313561856907308,0.33489543980202563,0.12448290030515095,0.5557990074157715
Random Forest,0.900850470135708,0.4024888554102154,0.26241760017972304,91.48410606384277
Extra Trees,0.9313561856907308,0.33489543980202563,0.12448290030517832,119.08759093284607
Gradient Boosting,0.5471346962758294,0.860187355415273,0.6899335387929695,8.625319957733154
XGBoost,0.9264308079076468,0.34670214085020573,0.16339051699913024,90.13488221168518
AdaBoost,0.2585135449974957,1.1006776324309706,0.934638384218652,3.4603450298309326
MLP Regressor,0.7722590111702345,0.609999011122436,0.44106503735067143,14.494281768798828
Gaussian Process,0.9313561778462439,0.3348954589376377,0.12448582247667142,20.71055579185486
Bayesian Ridge,0.5412681319485417,0.865741000641618,0.6863420253877464,21.126757860183716
PLS Regression,0.5293802038001727,0.8768869880073835,0.6918173688126887,0.20946311950683594
