model,r2,rmse,mae,time_s
Ridge Regression,0.3723281616981319,1.0090398807900085,0.7994580138304522,0.5173919200897217
Lasso Regression,0.07531475344153404,1.224726101953024,1.0189101154402591,0.026819944381713867
ElasticNet,0.16653138390962163,1.1627507685606346,0.9633015952862224,0.02733016014099121
k-Nearest Neighbors,0.510043651964869,0.8914986791299867,0.6645474452554745,6.196727991104126
SVR (RBF),0.5256549829313163,0.8771809289131198,0.6475219980358435,6.503653049468994
SVR (Linear),0.34474100328386914,1.0309758821696022,0.7942538320494792,6.197808027267456
Decision Tree,0.46000115323049806,0.9359193487509704,0.6382805295716243,0.2436058521270752
Random Forest,0.6300343466852104,0.7746806587063819,0.5737533377719545,42.84872579574585
Extra Trees,0.48623600523684096,0.9129013349208468,0.62446870062999,52.36639070510864
Gradient Boosting,0.46925656679348193,0.9278639986322428,0.7382985959454591,4.586573123931885
XGBoost,0.5890168905182929,0.8164958777209979,0.5768065853780203,32.24860191345215
AdaBoost,0.2713545354893402,1.087176716031461,0.9105573689398638,1.6328191757202148
MLP Regressor,0.5334847808497298,0.8699111907709539,0.6608088272682469,13.406429052352905
Gaussian Process,-3.861140027480902,2.8080903383347966,2.0090337486114676,15.150254726409912
Bayesian Ridge,0.37805188500976705,1.004428639938248,0.7994308178088,9.056205034255981
PLS Regression,0.3712732528736409,1.0098874560195854,0.8002536556380644,0.1592550277709961
