model,r2,rmse,mae,time_s
Ridge Regression,0.4299432126721321,0.9616146477089353,0.7652085490493893,0.5173919200897217
Lasso Regression,0.07832156198141071,1.22273325335253,1.0174232911204624,0.026819944381713867
ElasticNet,0.1719289775864261,1.1589796306071067,0.9604738963188864,0.02733016014099121
k-Nearest Neighbors,0.6873461386310864,0.7121539835950965,0.5308014598540146,6.196727991104126
SVR (RBF),0.6448950352456625,0.7589626111398328,0.5210215121593307,6.503653049468994
SVR (Linear),0.4039263553913398,0.9833134272974088,0.7469864653412431,6.197808027267456
Decision Tree,0.9338890892287792,0.32747532340523655,0.13195751186424853,0.2436058521270752
Random Forest,0.8995645596308601,0.40363191988620095,0.2777675901233078,42.84872579574585
Extra Trees,0.9338890892287792,0.3274753234052366,0.1319575118642739,52.36639070510864
Gradient Boosting,0.5466208720407847,0.8575763012982354,0.6820928292682239,4.586573123931885
XGBoost,0.9316047622933854,0.33308489717044604,0.16031382478936745,32.24860191345215
AdaBoost,0.2758400390695187,1.0838252485461168,0.9103411543114773,1.6328191757202148
MLP Regressor,0.8323583433887365,0.521474386098119,0.3625164834493936,13.406429052352905
Gaussian Process,0.9338890990382295,0.3274752991100562,0.13195911639356114,15.150254726409912
Bayesian Ridge,0.4245101635515284,0.966186218819535,0.7705245396743909,9.056205034255981
PLS Regression,0.42218022478577577,0.9681401028569928,0.7691975251280085,0.1592550277709961
