model,r2,rmse,mae,time_s
Ridge Regression,0.3707589626659681,1.0139511897573807,0.8072075217525018,0.5270829200744629
Lasso Regression,0.08475798997030148,1.2228593347034007,1.0143314361466342,0.026408910751342773
ElasticNet,0.16887892789471493,1.165307862520637,0.9648179160184363,0.031362056732177734
k-Nearest Neighbors,0.47839553273976787,0.9231646820044268,0.6836692679301375,7.077226161956787
SVR (RBF),0.5000724220451476,0.903778649197404,0.6764841781639929,6.345587968826294
SVR (Linear),0.34418619262208205,1.0351393254765457,0.8011643753367986,5.598203897476196
Decision Tree,0.4582017885422657,0.9408650007338265,0.6643907833093299,0.2240898609161377
Random Forest,0.5953371933455773,0.8131209947352506,0.6033356428017589,40.14468598365784
Extra Trees,0.48115539624696035,0.9207191626476215,0.6531992672795988,49.60857129096985
Gradient Boosting,0.44982848575405665,0.9481074960223019,0.7567314754918658,4.565133810043335
XGBoost,0.5595335857480032,0.8483302030086768,0.610009080836517,31.92049503326416
AdaBoost,0.2906086431559346,1.076592813218342,0.8977847717998667,1.3027031421661377
MLP Regressor,0.5275720777509426,0.8785698775058833,0.675834445146037,13.913810014724731
Gaussian Process,-3.4281869741482964,2.6898093879417275,1.8594417044533595,15.944719076156616
Bayesian Ridge,0.3741097379384859,1.0112478872886712,0.8091415446043794,8.235980749130249
PLS Regression,0.36968113897178534,1.014819214062708,0.8082745431903086,0.09163188934326172
