model,r2,rmse,mae,time_s
Ridge Regression,0.42765695554211536,0.9670228464160554,0.7708346708294029,0.5270829200744629
Lasso Regression,0.09062045307375166,1.218936610146499,1.0118569062110943,0.026408910751342773
ElasticNet,0.17712577289722164,1.1595120333218745,0.9602065643415495,0.031362056732177734
k-Nearest Neighbors,0.6578042038526872,0.7477318240609325,0.5506822742474916,7.077226161956787
SVR (RBF),0.6121703021399889,0.7960293137778205,0.5572417599182333,6.345587968826294
SVR (Linear),0.40268856088159066,0.9878908114100385,0.7528726641282327,5.598203897476196
Decision Tree,0.8672889284790942,0.465652681091957,0.23067133661941946,0.2240898609161377
Random Forest,0.8412822491682725,0.5092385586480714,0.34231893672558056,40.14468598365784
Extra Trees,0.8672889284790942,0.46565268109195695,0.2306713366194386,49.60857129096985
Gradient Boosting,0.5224592196750373,0.8833112512853288,0.7029166852691107,4.565133810043335
XGBoost,0.8663869357964243,0.46723244397619856,0.24399838575507043,31.92049503326416
AdaBoost,0.31986913969292574,1.0541557220288251,0.8835240062006768,1.3027031421661377
MLP Regressor,0.7227906973336697,0.6729959181593936,0.4997661692476891,13.913810014724731
Gaussian Process,0.8672888670474149,0.4656527888667738,0.23067521069802588,15.944719076156616
Bayesian Ridge,0.4213875970335834,0.9723047320312717,0.7778326720803028,8.235980749130249
PLS Regression,0.41969409343435793,0.973726580648398,0.7768046230305897,0.09163188934326172
