model,r2,rmse,mae,time_s
Ridge Regression,0.45094765500841116,0.9608467527519003,0.7507667192646096,1.6815822124481201
Lasso Regression,0.1196387741846503,1.2166837414305385,1.0173336894619571,0.2693638801574707
ElasticNet,0.2137693678047451,1.1497998072888815,0.9588656536863329,0.2752859592437744
k-Nearest Neighbors,0.5335655447242627,0.8856101052247095,0.6533233685745535,8.039812088012695
SVR (RBF),0.5596585500080042,0.8604824864067935,0.6324143573267947,7.1499669551849365
SVR (Linear),0.4191639951988346,0.9882663683079062,0.7471136737381178,11.324586868286133
Decision Tree,0.4768058907465177,0.9379478109406092,0.6240306560410755,0.4647822380065918
Random Forest,0.6620393324489275,0.7538420011914173,0.5480116819564,79.1561279296875
Extra Trees,0.5090218516068614,0.9086117175899684,0.6076251045995446,102.23998594284058
Gradient Boosting,0.5059421326562226,0.9114569504428339,0.7185105478811628,8.313486099243164
XGBoost,0.612586769831505,0.8071132468431268,0.557919909709829,67.55445909500122
AdaBoost,0.2927281156610143,1.0905371091895777,0.9160779165258659,2.577298164367676
MLP Regressor,0.5696434196730946,0.8506707016529739,0.6465860113080137,14.965821027755737
Gaussian Process,-7.726529928802131,3.830610922137342,2.979190407390631,24.939855098724365
Bayesian Ridge,0.4546357553018344,0.9576142101374687,0.7514301655878798,27.177232027053833
PLS Regression,0.4316891097736133,0.9775528371651145,0.7628597770730258,0.32975196838378906
