model,r2,rmse,mae,time_s
Ridge Regression,0.5541457717263083,0.8658520633058954,0.6789596479172614,1.6815822124481201
Lasso Regression,0.12439523418097531,1.2133925097853384,1.0146171981334444,0.2693638801574707
ElasticNet,0.22101697520069485,1.1444880128158952,0.9545505304135842,0.2752859592437744
k-Nearest Neighbors,0.7123920184891328,0.6954208675408738,0.5049121399927088,8.039812088012695
SVR (RBF),0.6670661658566268,0.7482146673853906,0.5115199881100521,7.1499669551849365
SVR (Linear),0.5201512976650631,0.8982545251055583,0.654053511962457,11.324586868286133
Decision Tree,0.960014079392589,0.25929897561738213,0.07869051816813277,0.4647822380065918
Random Forest,0.9241568058945878,0.3571129166878942,0.23841081742957013,79.1561279296875
Extra Trees,0.960014079392589,0.25929897561738213,0.07869051816816386,102.23998594284058
Gradient Boosting,0.5871601682681362,0.8331784866097481,0.6599799981841321,8.313486099243164
XGBoost,0.956176790840101,0.2714559342916843,0.12000496506560601,67.55445909500122
AdaBoost,0.3100408630164395,1.0771072187259043,0.9107998999682467,2.577298164367676
MLP Regressor,0.8117008292392074,0.5626929256541641,0.40553453724679067,14.965821027755737
Gaussian Process,0.9600140794705491,0.259298975364606,0.07869134075689768,24.939855098724365
Bayesian Ridge,0.5329415652053462,0.8862022761842402,0.6961638841532726,27.177232027053833
PLS Regression,0.5098114380610614,0.9078808131913733,0.7095005003115136,0.32975196838378906
