model,r2,rmse,mae,time_s
Ridge Regression,0.4224071846290318,0.9714476928936981,0.7663455431076639,1.6580710411071777
Lasso Regression,0.11553608445331809,1.2021221227614296,0.9964188761929943,0.27953624725341797
ElasticNet,0.20412517054059276,1.1403309581646486,0.945127755068464,0.32935118675231934
k-Nearest Neighbors,0.5023773471068467,0.9016927983733841,0.6659888517279822,7.502892971038818
SVR (RBF),0.5211344122831462,0.8845356564402965,0.6580210722970575,7.068231105804443
SVR (Linear),0.38266704194945156,1.004311097899363,0.7656686828985274,10.840017795562744
Decision Tree,0.4657488592043486,0.9342890504112745,0.6492330663570046,0.43460512161254883
Random Forest,0.6137835752725813,0.7943719484491382,0.5824469275361298,73.99008297920227
Extra Trees,0.4973682022284326,0.9062197227572083,0.6312460600432844,94.45517110824585
Gradient Boosting,0.47516577657247394,0.9260183726466831,0.733886509107808,8.010035991668701
XGBoost,0.5732444706556783,0.8350223664310996,0.5887900320653444,66.22695088386536
AdaBoost,0.29097148992834,1.076317444630613,0.8982850094742972,1.9399921894073486
MLP Regressor,0.5402031178863036,0.8667453910810192,0.6610340405344859,13.446820735931396
Gaussian Process,-6.588327313344002,3.5211259313138368,2.566454169464027,17.69413709640503
Bayesian Ridge,0.42667052786765447,0.9678558149058905,0.7676410667177608,14.522950172424316
PLS Regression,0.4081254663921299,0.9833844962346089,0.7757484882016719,0.17163801193237305
