model,r2,rmse,mae,time_s
Ridge Regression,0.5301727154183904,0.8761483493603771,0.6927918852401013,1.6580710411071777
Lasso Regression,0.12333134449931094,1.1968129216238812,0.9930105423629356,0.27953624725341797
ElasticNet,0.2112905173320334,1.1351860908290752,0.9411846690217907,0.32935118675231934
k-Nearest Neighbors,0.681614073541071,0.7212493939130851,0.5213251579338536,7.502892971038818
SVR (RBF),0.6265851180302676,0.7810958692402707,0.5448803276842693,7.068231105804443
SVR (Linear),0.49531169224618343,0.9080717221039969,0.6690846067563008,10.840017795562744
Decision Tree,0.8920638774990869,0.4199445372186659,0.18963043523634382,0.43460512161254883
Random Forest,0.8636758280587538,0.47194888476304636,0.3109120661688644,73.99008297920227
Extra Trees,0.8920638774990869,0.4199445372186659,0.18963043523636702,94.45517110824585
Gradient Boosting,0.5576086291423483,0.8501818976014489,0.6781473049494335,8.010035991668701
XGBoost,0.8908925767960109,0.42221696494396765,0.2084473777269174,66.22695088386536
AdaBoost,0.3241920893670155,1.050800245354189,0.8778728475014662,1.9399921894073486
MLP Regressor,0.768194658358287,0.6154180782132279,0.44001668209670664,13.446820735931396
Gaussian Process,0.8920638588138743,0.4199445735677232,0.18963149447884145,17.69413709640503
Bayesian Ridge,0.5037207503919438,0.9004748516921883,0.7139558401726076,14.522950172424316
PLS Regression,0.48412926788821886,0.9180767188617295,0.7235121530671117,0.17163801193237305
