model,r2,rmse,mae,time_s
Ridge Regression,0.26797706572058533,1.0950720129051112,0.8912550228439694,0.25823426246643066
Lasso Regression,0.09259602475272422,1.2192160596637933,1.011589776252724,0.030125141143798828
ElasticNet,0.15107815527612745,1.1792725523129564,0.9745604037812731,0.04480314254760742
k-Nearest Neighbors,0.4837126613157001,0.9196574072582089,0.6756331877729258,10.61057996749878
SVR (RBF),0.3070332129716373,1.0654585180909677,0.842544042500651,5.9455859661102295
SVR (Linear),0.23878321948335557,1.116694848249534,0.8923844705974068,21.926477670669556
Decision Tree,0.4470785538642763,0.9517262620629618,0.6263337641555436,0.18871808052062988
Random Forest,0.651492261489004,0.7555906041872257,0.5468365222607636,33.560718059539795
Extra Trees,0.662255582650282,0.743831259194994,0.5063675933453431,27.04610514640808
Gradient Boosting,0.45416947567994304,0.9456038795134343,0.7538715267330186,3.3099069595336914
XGBoost,0.6173085529332631,0.7917803398726628,0.5450319605831496,18.676509857177734
AdaBoost,0.24242968349543714,1.1140169804487206,0.9332071237637959,1.3145971298217773
MLP Regressor,0.4609808281374752,0.9396853196325923,0.7108062697574524,14.151286840438843
Gaussian Process,-7.388066895591033,3.7069034839245987,2.843512000339852,15.962403059005737
Bayesian Ridge,0.2646059654648327,1.0975906205927222,0.8927202361595397,4.354180812835693
PLS Regression,0.25660360260199533,1.1035463074102465,0.8952477531675435,0.19631385803222656
