model,r2,rmse,mae,time_s
Ridge Regression,0.30037243590795715,1.0705668506590642,0.8714021819888268,0.25823426246643066
Lasso Regression,0.09831694642813227,1.2153665789071852,1.0087491938998538,0.030125141143798828
ElasticNet,0.15988099633146036,1.1731424235570975,0.9700527736373635,0.04480314254760742
k-Nearest Neighbors,0.690822885047657,0.7116787623951205,0.5190087336244542,10.61057996749878
SVR (RBF),0.33423462636444057,1.0443376559463935,0.8180052657531792,5.9455859661102295
SVR (Linear),0.2784725196760416,1.087193316852728,0.858548370906259,21.926477670669556
Decision Tree,0.966331708832235,0.23485016682742513,0.07230422912846494,0.18871808052062988
Random Forest,0.9297613544736208,0.3392098070820751,0.2309646861466683,33.560718059539795
Extra Trees,0.9663317088315242,0.23485016682990434,0.07230425824057699,27.04610514640808
Gradient Boosting,0.5295932611606535,0.8778435109386105,0.7002478573688523,3.3099069595336914
XGBoost,0.9613642019471417,0.25157951730761,0.11980286657202886,18.676509857177734
AdaBoost,0.25488130453504554,1.1048239138834648,0.9338921016589354,1.3145971298217773
MLP Regressor,0.710216268759763,0.6889970078653216,0.5146108936887178,14.151286840438843
Gaussian Process,0.9663317087927242,0.23485016696522718,0.07230442515608093,15.962403059005737
Bayesian Ridge,0.29344576290261715,1.075853379485628,0.8754166425095512,4.354180812835693
PLS Regression,0.28989800797579857,1.07855103849248,0.8746361259858554,0.19631385803222656
