model,r2,rmse,mae,time_s
Ridge Regression,0.28181276618892737,1.0832466895667505,0.8781079063985825,0.24664711952209473
Lasso Regression,0.10331079809439292,1.2104016302367921,1.0023990480690574,0.028783082962036133
ElasticNet,0.16593979374687806,1.167366511731421,0.964347337803764,0.05436110496520996
k-Nearest Neighbors,0.44507651705287843,0.9521932132047217,0.7006161278335192,7.3899829387664795
SVR (RBF),0.3042307521071437,1.0662060555081818,0.8492481362131581,5.2623772621154785
SVR (Linear),0.25471588142668944,1.1034926972322303,0.8742175446113144,18.90441918373108
Decision Tree,0.4268483660557735,0.9677056960978456,0.6604453260878845,0.17433381080627441
Random Forest,0.601447568295744,0.8069586134639003,0.5861715637089989,32.1663019657135
Extra Trees,0.5921466417632291,0.8163202149448557,0.5687271474103456,25.625557899475098
Gradient Boosting,0.4543292288936246,0.9442214794464101,0.7578422213405065,3.2952208518981934
XGBoost,0.5724017027136692,0.8358464717319531,0.5826327794088125,18.31093192100525
AdaBoost,0.2548979166310591,1.103357925283504,0.9199800488426599,1.0107581615447998
MLP Regressor,0.45215933871002434,0.9460969914026789,0.7157130555884319,13.796822786331177
Gaussian Process,-5.938910691986489,3.3670857667704808,2.414041913953076,33.75136876106262
Bayesian Ridge,0.28037809307978057,1.0843281133690457,0.8807777154855734,8.735037803649902
PLS Regression,0.2684407206638657,1.0932847535802375,0.883331900100603,0.18925809860229492
