model,r2,rmse,mae,time_s
Ridge Regression,0.3176325608305417,1.0558875705778967,0.8565561506272819,0.24664711952209473
Lasso Regression,0.11129819350655124,1.2049986530779608,0.9982757795061883,0.028783082962036133
ElasticNet,0.17743414899812615,1.1592947465882724,0.9580205741846908,0.05436110496520996
k-Nearest Neighbors,0.6547925641340979,0.7510149822275759,0.5436967670011148,7.3899829387664795
SVR (RBF),0.33225431878819167,1.0445135394801863,0.824516926051851,5.2623772621154785
SVR (Linear),0.2929659637098455,1.0748025558354122,0.84290014380669,18.90441918373108
Decision Tree,0.8975162709939372,0.4092003435710246,0.18701393833661523,0.17433381080627441
Random Forest,0.8699273918332843,0.46100056143346063,0.3045440684608988,32.1663019657135
Extra Trees,0.8975162709939372,0.4092003435710246,0.1870139383366371,25.625557899475098
Gradient Boosting,0.5181304595779919,0.8873056918351806,0.7117033809255057,3.2952208518981934
XGBoost,0.8954471664206863,0.4133104954547199,0.21120049573018712,18.31093192100525
AdaBoost,0.2611004889114318,1.0987558986192103,0.9249999909133382,1.0107581615447998
MLP Regressor,0.6427225374308452,0.764031634253675,0.5749546166065922,13.796822786331177
Gaussian Process,0.8975162632387566,0.40920035905359214,0.18701417078382193,33.75136876106262
Bayesian Ridge,0.31151983049307197,1.0606064106582238,0.8619108598706685,8.735037803649902
PLS Regression,0.3047040668368999,1.0658433369149225,0.8615936106715391,0.18925809860229492
