model,r2,rmse,mae,time_s
Ridge Regression,0.28129193505178385,1.0776395424158096,0.8626320801270952,0.24627923965454102
Lasso Regression,0.008458985292045251,1.2657635969915013,1.0579738272979278,0.018590927124023438
ElasticNet,0.13041728482720982,1.1853666627452553,0.9827895303670521,0.020412206649780273
k-Nearest Neighbors,0.38084727812308183,1.000221424750246,0.7566566176470587,5.76091194152832
SVR (RBF),0.43790023031227276,0.9530242758898391,0.7200516610939975,5.236475229263306
SVR (Linear),0.25779211721461703,1.0951157900784645,0.8515236460308128,3.069719076156616
Decision Tree,0.42173920910367946,0.9666274692558631,0.6960465674025857,0.08448100090026855
Random Forest,0.500774126855781,0.898143647020514,0.6754667171865567,15.951996803283691
Extra Trees,0.43456472896839193,0.9558477176453067,0.6916050845309984,18.72144103050232
Gradient Boosting,0.38042994329925395,1.0005584634970561,0.7995603797776414,1.9892768859863281
XGBoost,0.4656906457286173,0.9291667246359772,0.6854044516542379,17.15580105781555
AdaBoost,0.2112654660179658,1.1289187542921366,0.9379097193011445,0.631767749786377
MLP Regressor,0.4406186076360765,0.950717016999762,0.7419106408175405,11.366243124008179
Gaussian Process,0.26584966733246784,1.089155175758542,0.7755173719282783,13.57501220703125
Bayesian Ridge,0.2833288491006921,1.076111372140007,0.863560621224321,3.6237776279449463
PLS Regression,0.28037855237086395,1.0783240934964364,0.8628139698179224,0.2705659866333008
