model,r2,rmse,mae,time_s
Ridge Regression,0.31586505573121026,1.051400421073491,0.8421597052065843,0.24627923965454102
Lasso Regression,0.011874121338205978,1.26358190030388,1.0564057974530383,0.018590927124023438
ElasticNet,0.13541410719719504,1.1819560613645554,0.9800509790454796,0.020412206649780273
k-Nearest Neighbors,0.550761469386361,0.8519924744213344,0.6376867647058823,5.76091194152832
SVR (RBF),0.5240544059229055,0.8769521861399026,0.636900904910346,5.236475229263306
SVR (Linear),0.2898238488992184,1.0712240183365804,0.8265083640846472,3.069719076156616
Decision Tree,0.7459304341834971,0.6407278217322929,0.3995453074171941,0.08448100090026855
Random Forest,0.7262172355513596,0.6651204666098762,0.47142498356600454,15.951996803283691
Extra Trees,0.7459304341834971,0.6407278217322929,0.3995453074172059,18.72144103050232
Gradient Boosting,0.44118246943399175,0.9502377302611932,0.7599339894063903,1.9892768859863281
XGBoost,0.7409920620579049,0.6469247949216599,0.4204057358187787,17.15580105781555
AdaBoost,0.24130241381373085,1.1072141078883402,0.9227671282084555,0.631767749786377
MLP Regressor,0.6332627313528423,0.7697944626098795,0.5824091558901379,11.366243124008179
Gaussian Process,0.7459304333420795,0.6407278227932617,0.3995491263322697,13.57501220703125
Bayesian Ridge,0.3131151783039672,1.0535113516870909,0.8457310546697636,3.6237776279449463
PLS Regression,0.3156464728403908,1.0515683702415832,0.8419122943447389,0.2705659866333008
