model,r2,rmse,mae,time_s
Ridge Regression,0.27906955214737195,1.0853135220092753,0.8704361508306446,0.23768019676208496
Lasso Regression,0.05538566857834848,1.2423266312647983,1.0332294044469235,0.020154953002929688
ElasticNet,0.13677527267676393,1.187600758092374,0.9850774465498475,0.020726919174194336
k-Nearest Neighbors,0.3672144062378987,1.0168030063743085,0.7727238944630249,6.733266115188599
SVR (RBF),0.41543621939610464,0.9772923101555558,0.75072456823665,5.3932578563690186
SVR (Linear),0.2591469457798611,1.1002074154644146,0.8662807961773079,3.131711959838867
Decision Tree,0.40306058502926967,0.9875831189262909,0.725356595126288,0.08312606811523438
Random Forest,0.4672962993558054,0.9329350010756029,0.7057337721578232,15.494568824768066
Extra Trees,0.41001190395545695,0.9818161115026868,0.7216111898968453,17.9219388961792
Gradient Boosting,0.37275839556289936,1.012338977360268,0.813628145033284,1.9505481719970703
XGBoost,0.4414530185454054,0.9552969354078087,0.7121646288698465,16.91757106781006
AdaBoost,0.22286186085345194,1.126828029855954,0.9365171231942984,0.6384191513061523
MLP Regressor,0.4302571176397363,0.9648237470830144,0.7440499928003705,12.868131160736084
Gaussian Process,0.25361063577794796,1.1043106260146853,0.7961152857359787,13.32352614402771
Bayesian Ridge,0.28178466683018033,1.0832678805864349,0.8708127592565723,3.800964832305908
PLS Regression,0.2786376011355495,1.0856386102856697,0.8701578797560349,0.22451472282409668
