molecule_chembl_id,molecule_pref_name,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,sd_pchembl,n_measurements,assay_chembl_id,assay_description,assay_type,document_chembl_id,document_journal,document_year,target_chembl_id,target_pref_name,inchi_key
CHEMBL386630,TESTOSTERONE,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,Ki,=,600.0,nM,6.22,0.0000,1,CHEMBL664583,Inhibition of human placental aromatase Cytochrome P450 19A1,B,CHEMBL1122309,J Med Chem,1983,CHEMBL1978,Aromatase,MUMGGOZAMZWBJJ-DYKIIFRCSA-N
CHEMBL488,AMINOGLUTETHIMIDE,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,Ki,=,1347.0000,nM,5.97,0.3016,10,CHEMBL666405,Inhibitory constant (Ki) for Cytochrome P450 19A1,B,CHEMBL1123108,J Med Chem,1985,CHEMBL1978,Aromatase,ROBVIMPUHSLWNV-UHFFFAOYSA-N
CHEMBL289116,ROGLETIMIDE,CCC1(c2ccncc2)CCC(=O)NC1=O,Ki,=,5400.0000,nM,5.59,0.6409,3,CHEMBL666405,Inhibitory constant (Ki) for Cytochrome P450 19A1,B,CHEMBL1123108,J Med Chem,1985,CHEMBL1978,Aromatase,QXKJWHWUDVQATH-UHFFFAOYSA-N
CHEMBL1630273,,C[C@]12CC[C@H]3[C@@H](CC=C4[C@H](O)CCC[C@@]43CO)[C@@H]1CCC2=O,Ki,=,800.0,nM,6.10,0.0000,1,CHEMBL660323,"Apparent inhibition constant for aromatase inhibition, was obtained by Dixon plot",B,CHEMBL1134295,J Med Chem,2001,CHEMBL1978,Aromatase,HGXZNIOSVPOXRE-ZEHJPDPISA-N
CHEMBL1630261,,C[C@]12CCCC=C1[C@H](O)C[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,Ki,=,6.0000,nM,8.22,0.0000,2,CHEMBL660323,"Apparent inhibition constant for aromatase inhibition, was obtained by Dixon plot",B,CHEMBL1134295,J Med Chem,2001,CHEMBL1978,Aromatase,UPJODXGWEXHPEK-DQXCSHPPSA-N
CHEMBL1629805,,C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@@]43CO)[C@@H]1CCC2=O,Ki,=,10.4333,nM,8.01,0.1992,3,CHEMBL660323,"Apparent inhibition constant for aromatase inhibition, was obtained by Dixon plot",B,CHEMBL1134295,J Med Chem,2001,CHEMBL1978,Aromatase,UGCIHWZOIVCJGP-BGJMDTOESA-N
CHEMBL2112739,,CC(=O)O[C@H]1CCC[C@@]2(C)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,Ki,=,90.0000,nM,7.05,0.0000,2,CHEMBL660323,"Apparent inhibition constant for aromatase inhibition, was obtained by Dixon plot",B,CHEMBL1134295,J Med Chem,2001,CHEMBL1978,Aromatase,WJINZNWBMZDWPK-ZYVPZICASA-N
CHEMBL1630274,,C[C@]12CC[C@H]3[C@@H](CC=C4[C@@H](O)CCC[C@@]43CO)[C@@H]1CCC2=O,Ki,=,3.4000,nM,8.47,0.0000,2,CHEMBL660323,"Apparent inhibition constant for aromatase inhibition, was obtained by Dixon plot",B,CHEMBL1134295,J Med Chem,2001,CHEMBL1978,Aromatase,HGXZNIOSVPOXRE-HDOZPKFNSA-N
CHEMBL1629804,,C[C@]12CCCC=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,Ki,=,17.9000,nM,7.88,0.3626,6,CHEMBL660323,"Apparent inhibition constant for aromatase inhibition, was obtained by Dixon plot",B,CHEMBL1134295,J Med Chem,2001,CHEMBL1978,Aromatase,MNOAOFLIFDRILH-QAGGRKNESA-N
CHEMBL39661,,CCCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,Ki,=,300.0000,nM,6.62,0.4243,2,CHEMBL662249,Inhibition of human placental cytochrome P450 19A1 with testosterone,B,CHEMBL1123885,J Med Chem,1987,CHEMBL1978,Aromatase,OORIPAIYDLQOTG-UHFFFAOYSA-N
